100,30,86,2.5,15,15,-63,Battery Alarm
317,226,1613,2.6,15,14,-94,Battery Alarm
145,26,81,2.6,10,12,-84,Battery Alarm
0,0,6,2.6,15,13,-82,Battery Alarm
0,2,10,2.6,15,12,-91,Battery Alarm
19,11,33,2.5,10,15,-43,Battery Alarm
163,19,34,2.6,5,15,-64,Battery Alarm
317,227,1616,2.6,15,9,-94,Battery Alarm
317,237,1661,2.6,14,12,-85,Battery Alarm
145,32,123,2.6,15,13,-78,Battery Alarm
0,10,33,2.6,15,14,-75,Battery Alarm
555,39,42,2.5,15,15,-64,Battery Alarm
317,238,1662,2.6,14,12,-87,Battery Alarm
145,32,124,2.6,15,13,-78,Battery Alarm
281,17,60,2.6,12,14,-82,Battery Alarm
0,10,33,2.6,15,12,-75,Battery Alarm
576,40,42,2.5,15,15,-64,Battery Alarm
554,34,108,2.6,15,14,-81,Battery Alarm
0,17,45,2.6,14,14,-75,Battery Alarm
1119,54,49,2.4,15,15,-64,Battery Alarm
365,61,86,2.3,15,15,-62,Battery Alarm
317,247,1700,2.6,15,13,-78,Battery Alarm
145,45,157,2.6,15,13,-72,Battery Alarm
576,36,114,2.6,12,14,-82,Battery Alarm
0,18,46,2.6,15,14,-75,Battery Alarm
1157,57,52,2.5,15,15,-66,Battery Alarm
0,0,7,2.6,15,15,-66,Battery Alarm
0,0,12,2.5,15,15,-63,Battery Alarm
30,0,23,2.5,15,15,-62,Battery Alarm
30,0,28,2.5,14,15,-74,Battery Alarm
317,248,1700,2.6,15,15,-78,Battery Alarm
145,45,157,2.6,15,13,-74,Battery Alarm
587,36,116,2.6,15,14,-80,Battery Alarm
0,18,46,2.6,15,15,-75,Battery Alarm
1157,58,52,2.5,10,15,-66,Battery Alarm
317,248,1701,2.6,10,15,-81,Battery Alarm
317,248,1702,2.5,15,14,-80,Battery Alarm
145,45,157,2.6,15,15,-72,Battery Alarm
608,36,119,2.6,15,13,-82,Battery Alarm
0,19,49,2.6,15,15,-75,Battery Alarm
1157,59,52,2.4,15,15,-66,Battery Alarm
370,62,86,2.3,15,15,-61,Battery Alarm
317,248,1704,2.6,11,13,-80,Battery Alarm
145,45,158,2.6,15,15,-72,Battery Alarm
619,36,119,2.6,11,13,-82,Battery Alarm
0,19,49,2.5,14,14,-75,Battery Alarm
1157,59,52,2.5,15,15,-66,Battery Alarm
596,36,116,2.6,15,14,-81,Battery Alarm
0,19,46,2.6,15,15,-75,Battery Alarm
30,0,29,2.5,15,15,-71,Battery Alarm
33,0,40,2.5,14,14,-71,Battery Alarm
33,0,41,2.5,14,14,-71,Battery Alarm
33,0,48,2.5,15,15,-89,Battery Alarm
33,0,52,2.5,15,15,-67,Battery Alarm
33,0,55,2.5,15,15,-74,Battery Alarm
305,222,1569,2.6,15,13,-92,Battery Alarm
145,24,72,2.6,0,14,-90,Battery Alarm
0,0,0,2.6,0,15,-93,Battery Alarm
19,8,33,2.4,15,13,-43,Battery Alarm
91,15,34,2.5,15,14,-64,Battery Alarm
317,222,1571,2.6,10,13,-91,Battery Alarm
145,25,72,2.6,15,12,-86,Battery Alarm
0,0,1,2.6,15,11,-88,Battery Alarm
19,8,33,2.4,15,15,-43,Battery Alarm
104,15,34,2.5,15,15,-64,Battery Alarm
95,28,85,2.6,15,15,-62,Battery Alarm
145,26,79,2.6,10,14,-83,Battery Alarm
0,0,6,2.6,15,14,-82,Battery Alarm
0,2,8,2.6,15,12,-90,Battery Alarm
